datetime,open,high,low,close,volume,symbol
2025-01-08 11:15:00,4029.25,4041.6,4025.05,4039.9,98515,TCS
2025-01-08 11:30:00,4039.9,4046.0,4030.75,4030.9,56838,TCS
2025-01-08 11:45:00,4031.05,4040.0,4029.9,4034.5,40723,TCS
2025-01-08 12:00:00,4034.5,4040.0,4031.0,4032.1,39201,TCS
2025-01-08 12:15:00,4032.1,4038.6,4029.2,4031.15,46214,TCS
2025-01-08 12:30:00,4031.55,4034.75,4023.0,4028.85,95077,TCS
2025-01-08 12:45:00,4028.85,4038.0,4026.05,4036.55,50513,TCS
2025-01-08 13:00:00,4036.75,4050.0,4035.0,4047.55,82199,TCS
2025-01-08 13:15:00,4047.55,4061.0,4047.55,4060.85,85396,TCS
2025-01-08 13:30:00,4060.65,4082.45,4060.15,4080.5,108108,TCS
2025-01-08 13:45:00,4080.8,4093.0,4074.15,4088.0,113772,TCS
2025-01-08 14:00:00,4087.75,4088.0,4069.0,4071.7,71370,TCS
2025-01-08 14:15:00,4071.75,4076.85,4057.3,4058.0,60292,TCS
2025-01-08 14:30:00,4058.65,4087.95,4051.0,4084.55,96694,TCS
2025-01-08 14:45:00,4084.85,4102.3,4081.9,4095.15,121752,TCS
2025-01-08 15:00:00,4095.15,4123.9,4087.4,4120.85,151098,TCS
2025-01-08 15:15:00,4120.7,4126.0,4095.05,4095.05,157494,TCS
2025-01-09 09:15:00,4101.0,4126.35,4090.15,4105.15,136691,TCS
2025-01-09 09:30:00,4105.0,4128.4,4101.5,4112.45,68136,TCS
2025-01-09 09:45:00,4113.3,4124.65,4103.0,4120.85,42132,TCS
2025-01-09 10:00:00,4120.9,4124.95,4105.9,4123.65,51703,TCS
2025-01-09 10:15:00,4123.7,4137.75,4123.05,4130.55,64928,TCS
2025-01-09 10:30:00,4130.0,4130.7,4100.9,4105.75,147504,TCS
2025-01-09 10:45:00,4105.75,4114.1,4080.4,4087.35,176119,TCS
2025-01-09 11:00:00,4087.35,4092.3,4077.0,4083.2,184730,TCS
2025-01-09 11:15:00,4083.2,4088.65,4076.45,4085.2,68454,TCS
2025-01-09 11:30:00,4085.0,4087.15,4071.0,4076.2,54567,TCS
