company_name,industry,symbol,Series,isin,index_code,scrape_date
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,NIFTYMIDCAP150,2026-02-03
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,NIFTYMIDCAP150,2026-02-03
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,NIFTYMIDCAP150,2026-02-03
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,NIFTYMIDCAP150,2026-02-03
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,NIFTYMIDCAP150,2026-02-03
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,NIFTYMIDCAP150,2026-02-03
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,NIFTYMIDCAP150,2026-02-03
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,NIFTYMIDCAP150,2026-02-03
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,NIFTYMIDCAP150,2026-02-03
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,NIFTYMIDCAP150,2026-02-03
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,NIFTYMIDCAP150,2026-02-03
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,NIFTYMIDCAP150,2026-02-03
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026,NIFTYMIDCAP150,2026-02-03
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,NIFTYMIDCAP150,2026-02-03
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017,NIFTYMIDCAP150,2026-02-03
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,NIFTYMIDCAP150,2026-02-03
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,NIFTYMIDCAP150,2026-02-03
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,NIFTYMIDCAP150,2026-02-03
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,NIFTYMIDCAP150,2026-02-03
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,NIFTYMIDCAP150,2026-02-03
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,NIFTYMIDCAP150,2026-02-03
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,NIFTYMIDCAP150,2026-02-03
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,NIFTYMIDCAP150,2026-02-03
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,NIFTYMIDCAP150,2026-02-03
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,NIFTYMIDCAP150,2026-02-03
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,NIFTYMIDCAP150,2026-02-03
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,NIFTYMIDCAP150,2026-02-03
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,NIFTYMIDCAP150,2026-02-03
