company_name,industry,symbol,Series,isin,index_code,scrape_date
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,NIFTYLARGEMIDCAP250,2026-02-03
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,NIFTYLARGEMIDCAP250,2026-02-03
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,NIFTYLARGEMIDCAP250,2026-02-03
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,NIFTYLARGEMIDCAP250,2026-02-03
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,NIFTYLARGEMIDCAP250,2026-02-03
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,NIFTYLARGEMIDCAP250,2026-02-03
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,NIFTYLARGEMIDCAP250,2026-02-03
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,NIFTYLARGEMIDCAP250,2026-02-03
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,NIFTYLARGEMIDCAP250,2026-02-03
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,NIFTYLARGEMIDCAP250,2026-02-03
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,NIFTYLARGEMIDCAP250,2026-02-03
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,NIFTYLARGEMIDCAP250,2026-02-03
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,NIFTYLARGEMIDCAP250,2026-02-03
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,NIFTYLARGEMIDCAP250,2026-02-03
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,NIFTYLARGEMIDCAP250,2026-02-03
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,NIFTYLARGEMIDCAP250,2026-02-03
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,NIFTYLARGEMIDCAP250,2026-02-03
